Country Name,Country Code,Agri_1990,Agri_2000,Agri_2011,Agri_2012,Agri_2013,Agri_2014,Agri_2015,Agri_2016
Afghanistan,AFG,58.26670343,57.82709922,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957
Albania,ALB,40.91240876,41.75182482,43.83211679,43.84306748,43.33211857,42.8573007,42.85766602,43.12773544
Algeria,DZA,16.23854829,16.80326148,17.37721162,17.38149059,17.39553462,17.39526565,17.40592946,17.36553915
American Samoa,ASM,15,24.00000095,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048
Andorra,AND,48.93617021,48.93617021,42.06383076,39.9148941,40.02127546,40.02127546,40.02127546,39.95744827
Angola,AGO,46.04475816,45.96133793,47.31691666,47.31691666,47.47734018,47.47734018,47.47734018,47.47734018
Antigua and Barbuda,ATG,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545
Argentina,ARG,46.61287906,46.95818671,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,54.33571212
Armenia,ARM,,46.46996839,59.64523975,59.11485774,59.11485774,59.03406924,58.89357047,58.89708637
Aruba,ABW,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
Australia,AUS,60.46119001,59.29213907,53.32681537,52.78028715,51.62715756,52.88377179,47.63065749,48.24194425
Austria,AUT,36.61782396,35.60426194,33.39712672,33.13225067,32.91369341,32.89022473,32.94172553,32.35667614
Azerbaijan,AZE,,57.38635558,57.69193917,57.68709523,57.70454009,57.7005469,57.7017519,57.73557518
"Bahamas, The",BHS,1.198801199,1.298701299,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399
Bahrain,BHR,11.5942029,12.95774621,11.21251724,11.16883166,11.16883166,11.15434572,11.05398463,11.05398463
Bangladesh,BGD,79.78796958,72.21325958,70.12368441,70.06222632,69.97003918,69.90089882,70.38672685,70.63232666
Barbados,BRB,44.18604651,41.86046512,32.55813953,30.23255814,29.06976744,27.90697674,25.58139535,23.25581395
Belarus,BLR,,45.61230527,43.73860332,43.34926815,42.93177134,42.4879174,42.24201571,42.03548913
Belgium,BEL,,45.89167687,44.11162322,43.98943197,44.13804491,43.96631601,43.85733157,44.61030544
Belize,BLZ,5.523893029,6.532222709,6.882946076,7.014467339,7.014467339,7.014467339,7.014467339,7.014467339
Benin,BEN,20.13125222,28.33451579,31.30542746,32.81305427,33.25647393,33.25647393,33.25647393,33.25647393
Bermuda,BMU,5.555555678,7.407407387,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678
Bhutan,BTN,9.716842219,13.31658291,13.63171242,13.63171242,13.63171242,13.7891225,13.7891225,13.60633424
Bolivia,BOL,32.72869934,34.28690114,34.66906674,34.75583864,34.8361488,34.80291701,34.76506969,34.78722422
Bosnia and Herzegovina,BIH,,41.6015625,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125
Botswana,BWA,45.91428017,45.79076456,45.74665184,45.67783601,45.66371994,45.87899,45.6330168,45.6330168
Brazil,BRA,28.90690991,31.27561874,32.94668431,32.97468097,33.44787237,33.9284817,33.98878219,33.92453345
British Virgin Islands,VGB,53.33333333,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
Brunei Darussalam,BRN,2.087286528,1.897533207,2.542694425,2.542694425,2.732447745,2.732447745,2.732447745,2.732447745
Bulgaria,BGR,55.67206002,50.45647654,46.86809138,47.19049374,46.01142225,45.84561533,46.16709564,46.25092115
Burkina Faso,BFA,34.99634503,35.70906433,43.09210526,44.2251462,44.95614035,44.2251462,44.2251462,44.2251462
Burundi,BDI,82.16510903,72.70249221,73.32554517,75.27258567,79.16666667,79.16666667,79.16666667,79.16666667
Cabo Verde,CPV,16.87344913,17.617866,19.35483871,20.84367246,20.84367246,19.60297767,19.60297767,19.60297767
