Country Name,Country Code,Forest_1990,Forest_2000,Forest_2011,Forest_2012,Forest_2013,Forest_2014,Forest_2015,Forest_2016
Afghanistan,AFG,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648
Albania,ALB,28.78832072,28.07664189,28.29708127,28.26204397,28.22700668,28.1919716,28.15693431,28.12189701
Algeria,DZA,0.69990847,0.662960693,0.808484543,0.811675477,0.814866463,0.818057397,0.821248331,0.824439265
American Samoa,ASM,91.94999695,90.24999619,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5
Andorra,AND,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Angola,AGO,48.90992219,47.90887944,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041
Antigua and Barbuda,ATG,23.40909134,22.72727273,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771
Argentina,ARG,12.7135335,11.64180086,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405818
Armenia,ARM,11.76677204,11.69652266,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333
Aruba,ABW,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326
Australia,AUS,16.73209846,16.77114927,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,16.25827806
Austria,AUT,45.72535723,46.47614434,46.77511454,46.80088082,46.83573548,46.86208745,46.88390014,46.90571284
Azerbaijan,AZE,10.23829266,10.55384042,12.5156675,12.83287783,13.14992813,13.46648537,13.78367651,14.09967334
"Bahamas, The",BHS,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145
Bahrain,BHR,0.318840578,0.521126767,0.704041777,0.72727273,0.740259731,0.765239929,0.771208227,0.784061684
Bangladesh,BGD,11.47729892,11.27756011,11.05784762,11.03787393,11.01789929,10.9979256,10.97795191,10.95797822
Barbados,BRB,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323
Belarus,BLR,38.35535397,40.78584106,42.15613026,42.25420041,42.35269119,42.43716789,42.53416463,42.6301065
Belgium,BEL,,22.03764821,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464
Belize,BLZ,70.84743662,63.97632831,60.77904406,60.5589643,60.33932336,60.11924359,59.89916917,59.6790894
Benin,BEN,51.09081234,44.88293721,40.00532104,39.56190138,39.11848173,38.67506208,38.23164243,37.78822277
Bermuda,BMU,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819
Bhutan,BTN,53.65045193,65.47738693,71.23383282,71.49434471,71.754863,72.0153749,72.27562418,72.48453671
Bolivia,BOL,57.96639897,55.47032216,51.62004985,51.35327241,51.08649497,50.81971753,50.55294009,50.28616265
Bosnia and Herzegovina,BIH,43.1640625,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125
Botswana,BWA,24.20552997,22.11811621,19.84860481,19.66827168,19.48794027,19.30760714,19.12727401,18.94694088
Brazil,BRA,65.40988785,62.36722524,59.51970175,59.40197221,59.28424267,59.16651312,59.04878358,58.93105404
British Virgin Islands,VGB,24.73333359,24.46666718,24.26666737,24.20000076,24.20000076,24.13333257,24.13333257,24.13333257
Brunei Darussalam,BRN,78.36812144,75.33206831,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
Bulgaria,BGR,30.07321703,30.50709572,34.58179763,34.74023491,34.89867444,35.05711172,35.21554901,35.37398629
Burkina Faso,BFA,25.0255848,22.83625731,20.42836329,20.20979496,19.99122843,19.7726601,19.55409357,19.33552703
Burundi,BDI,11.25389408,7.710280374,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151
Cabo Verde,CPV,14.33002481,20.36972614,21.35235808,21.59305128,21.83126634,22.06947951,22.30769269,22.54590586
Cambodia,KHM,73.32880127,65.40901881,56.46158854,55.73986061,55.01812715,54.29639922,53.57466576,52.8529323
Cameroon,CMR,51.43957183,46.78555563,41.6661378,41.20073618,40.73533456,40.26993294,39.80453132,39.3391297
Canada,CAN,38.29907264,38.24727745,38.18716934,38.18204549,38.17691821,38.17179436,38.16667052,38.16154667
Cayman Islands,CYM,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587
Central African Republic,CAF,36.21304055,35.96263122,35.6871816,35.66214129,35.63709785,35.61205754,35.58701724,35.56197693
Chad,TCD,5.324809403,5.023824651,4.273665742,4.173125639,4.072585924,3.972045821,3.871505718,3.770965615
Channel Islands,CHI,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256
Chile,CHL,20.52769667,21.29565282,22.2341474,22.63870136,23.04325795,23.44781191,23.8523685,24.25692509
China,CHN,16.73800695,18.85346743,21.53258961,21.69685979,21.86112996,22.02539848,22.18966865,22.35394181
Colombia,COL,58.05948626,55.69936134,52.82433669,52.80026194,52.77618015,52.7521054,52.72802008,52.70393829
Comoros,COM,26.32992928,24.1805473,20.74153531,20.52659834,20.31165932,20.09672235,19.88178334,19.66684432
"Congo, Dem. Rep.",COD,70.73641958,69.36282835,67.85187523,67.71452025,67.57715837,67.43980338,67.3024415,67.16507962
"Congo, Rep.",COG,66.54758419,66.04978038,65.5800867,65.53499039,65.4898998,65.44480349,65.39970717,65.35461086
Costa Rica,CRI,50.21543282,46.53349001,51.60986978,52.20132985,52.79279471,53.38425478,53.97571485,54.56717492
