Country Name,Country Code,GrowthCap_1990,GrowthCap_2000,GrowthCap_2011,GrowthCap_2012,GrowthCap_2013,GrowthCap_2014,GrowthCap_2015,GrowthCap_2016,GrowthCap_2017,GrowthCap_2018,GrowthCap_2019
Afghanistan,AFG,,,-2.681080849,8.974879568,1.974168629,-0.665270518,-1.622886672,-0.541697283,0.082078929,-0.559824441,0.549627731
Albania,ALB,-11.1879053,7.633866403,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.650431413
Algeria,DZA,-1.754072876,2.39950644,0.980204695,1.401796703,0.761674962,1.710449517,1.6004783,1.104567921,-0.750499559,-0.615183264,-1.130692304
American Samoa,ASM,,,0.869269598,-4.234377289,-2.836798492,0.803753378,1.365901551,-2.645383249,-5.64961891,2.470435213,
Andorra,AND,-0.142614682,1.913451853,0.830101584,-3.452688295,-1.573745735,4.524455557,2.997046098,4.667654578,0.731812819,1.582169331,1.669679827
Angola,AGO,-6.657532178,-0.267944537,-0.220846528,4.70645928,1.292085637,1.219832787,-2.468715169,-5.81623672,-3.409903308,-5.162050365,-4.032613542
Antigua and Barbuda,ATG,2.154973552,4.808187364,-3.304233499,2.05110583,-1.803232595,2.622780496,2.711206847,4.42525495,2.173818458,6.430026467,3.753872928
Argentina,ARG,-3.874103165,-1.874912415,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.609282344,-3.467376243,-3.130051379
Armenia,ARM,,6.570363869,4.728426776,6.914143641,2.82388904,3.07285853,2.736128725,-0.16150062,7.183757928,4.95169918,7.383361638
Aruba,ABW,2.092910106,5.427607588,3.063882371,-1.864167717,3.593197948,-0.294411895,5.125615922,1.583035098,1.521780328,,
Australia,AUS,2.049082019,2.701289318,1.0488838,2.119682504,0.834341933,1.015114993,0.732399751,1.177911433,0.657653884,1.371144495,0.363735767
Austria,AUT,3.55354779,3.12743665,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.984638283,1.767087438,1.922118652,1.194628903
Azerbaijan,AZE,,10.19102962,-2.847182953,0.853886052,4.483203027,1.522431572,-0.147024804,-4.141174903,-0.824348483,0.62488441,1.366684408
"Bahamas, The",BHS,-3.320656503,2.755349588,-0.684017478,1.950775485,-3.899399537,-0.205232091,-0.362951164,-0.543773106,-0.937249831,0.544150189,0.795068675
Bahrain,BHR,1.312002572,0.852697132,-0.991929406,1.989229927,4.207498841,2.706652046,0.180519551,-0.441055395,-0.93275408,-2.938835675,-2.630801304
Bangladesh,BGD,3.086984024,3.257499679,5.25309563,5.298244958,4.794401642,4.856108324,5.368770649,5.950927422,6.142103948,6.737017522,7.031583836
Barbados,BRB,-3.670371407,4.03788697,-0.973739962,-0.70578296,-1.613255891,-0.310043861,2.269530555,2.309452277,0.321712492,-0.721845443,-0.229793192
Belarus,BLR,,6.299636448,5.572385837,1.780361776,0.987444297,1.63497133,-3.982648864,-2.648709831,2.567482608,3.309792107,1.400047931
Belgium,BEL,2.830268121,3.465450305,0.38001833,0.116415122,-0.013162462,1.128585855,1.443273424,0.965814583,1.51205507,1.026728438,0.901135132
Belize,BLZ,9.017270339,9.211305408,-0.481040808,0.065398982,-0.95854033,1.391470821,0.693388316,-1.943516255,-0.131148995,0.143898288,-1.603910562
Benin,BEN,5.507107214,2.745589289,0.117033148,1.919610424,4.241378271,3.439399576,-1.004112064,0.525081923,2.805123831,3.818777311,4.003206857
Bermuda,BMU,-0.79846154,8.348323379,-2.501103308,-5.178203827,-2.815614911,,,,,,
Bhutan,BTN,9.074810647,4.555612681,6.768529448,3.87705671,0.875532934,4.479326699,5.350000342,6.830611088,3.408338974,1.822273289,
