Country Name,Country Code,GDPcap_1990,GDPcap_2000,GDPcap_2011,GDPcap_2012,GDPcap_2013,GDPcap_2014,GDPcap_2015,GDPcap_2016,GDPcap_2017,GDPcap_2018,GDPcap_2019
Afghanistan,AFG,..,..,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,547.2281102,556.3020024,524.1628809,502.1154869
Albania,ALB,617.2304355,1126.683318,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5352.857411
Algeria,DZA,2408.688815,1764.97383,5455.853529,5592.257099,5499.581487,5493.02559,4177.892515,3946.443977,4044.2766,4114.715061,3948.343279
American Samoa,ASM,..,..,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,..
Andorra,AND,18878.50597,21854.2468,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035,41793.05526,40886.39116
Angola,AGO,947.7041821,556.8363181,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2973.59116
Antigua and Barbuda,ATG,7348.212943,10920.84269,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16726.98081,17790.30931
Argentina,ARG,4333.482973,7708.100996,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338,11683.94962,10006.14897
Armenia,ARM,637.8546595,622.7421391,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493
Aruba,ABW,12307.31174,20620.70063,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,..,..
Australia,AUS,18211.27459,21679.24784,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54066.47127,57395.91947,54907.10191
Austria,AUT,21680.98969,24564.45829,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45237.80509,47549.07904,51525.04643,50277.27509
Azerbaijan,AZE,1237.324492,655.0974326,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4793.58702
Bahamas,BHS,12356.4239,27097.61081,28006.37972,29485.62093,28768.02989,29445.03053,31405.96356,31588.835,31827.2427,32217.87159,32933.48601
Bahrain,BHR,8528.983334,13636.39623,22514.23795,23654.35139,24744.29696,24989.40012,22688.9444,22619.11667,23709.43047,23991.05668,23503.97713
Bangladesh,BGD,306.2687038,418.0689683,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620466,1563.913857,1698.350394,1855.739824
