Country Name,Country Code,Poor_2000,Poor_2001,Poor_2002,Poor_2003,Poor_2004,Poor_2005,Poor_2006,Poor_2007,Poor_2008,Poor_2009,Poor_2010,Poor_2011,Poor_2012,Poor_2013,Poor_2014,Poor_2015,Poor_2016,Poor_2017,Poor_2018,Average_2011-2015
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,1.6,,,0.9,,,0.3,,,,0.8,,1.6,1.1,0.9,1.3,,1.166666667
Algeria,DZA,,,,,,,,,,,,0.4,,,,,,,,0.4
Angola,AGO,36.4,,,,,,,,34.4,,,,,,,,,,51.8,
Argentina,ARG,6.8,10.7,16.9,8.4,6.4,4.8,3.9,3.3,3.3,3,2.8,1.1,1.1,1,0.9,,1,0.8,1.3,1.025
Armenia,ARM,,14.4,10.5,7.9,5.5,2.7,2.1,1.6,0.9,1.3,1,1.2,0.9,1.8,1.5,1.3,1.2,0.9,1.4,1.34
Australia,AUS,,0.7,,1,0.5,,,,0.4,,0.3,,,,0.5,,,,,0.5
Austria,AUT,0.2,,,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,,0.44
Azerbaijan,AZE,,2.6,0,0,0,0,,,,,,,,,,,,,,
Bangladesh,BGD,34.5,,,,,25.4,,,,,19.4,,,,,,14.5,,,
Belarus,BLR,7.3,3.2,2.1,1.4,0.3,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,0.3,,,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,,0.14
Belize,BLZ,,,,,,,,,,,,,,,,,,,,
Benin,BEN,,,,48.9,,,,,,,,53.2,,,,49.6,,,,51.4
Bhutan,BTN,,,,17.8,,,,8.2,,,,,2.2,,,,,1.5,,2.2
Bolivia,BOL,28.6,22.8,24.6,,13.6,19.2,16.1,12.4,11,10.3,,7.2,8.1,6.9,5.7,6.3,7,5.8,4.5,6.84
Bosnia and Herzegovina,BIH,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,,0.1
Botswana,BWA,,,28.2,,,,,,,17.2,,,,,,14.5,,,,14.5
Brazil,BRA,,11.5,10.2,11,9.7,8.6,7.2,6.7,5.5,5.4,,4.7,3.7,3.1,2.7,3.2,3.9,4.4,4.4,3.48
Bulgaria,BGR,,,,,,,5.6,1.8,1.2,1.3,2,2.4,2.2,1.8,1.6,3.4,1.9,1.4,,2.28
Burkina Faso,BFA,,,,57.4,,,,,,55.4,,,,,43.8,,,,,43.8
Burundi,BDI,,,,,,,78.6,,,,,,,72.8,,,,,,72.8
Cabo Verde,CPV,,16.6,,,,,,8.4,,,,,,,,3.4,,,,3.4
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,,26,,,,,,31.8,,,,,,,26,,,,,26
Canada,CAN,0.2,,,,0.2,,,0.2,,,0.2,,,0.5,,,,0.2,,0.5
Central African Republic,CAF,,,,64.4,,,,,65.9,,,,,,,,,,,
Chad,TCD,,,,62.7,,,,,,,,38.1,,,,,,,,38.1
Chile,CHL,4.3,,,4,,,1.5,,,1.3,,0.6,,0.4,,0.3,,0.3,,0.433333333
China,CHN,,,31.7,,,18.5,,,14.9,,11.2,7.9,6.5,1.9,1.4,0.7,0.5,,,3.68
Colombia,COL,16.8,19.9,14.5,12.2,11.1,9.9,,,10.6,9.1,7.9,6.4,6.3,5.8,5.2,4.7,4.7,4,4.2,5.68
Comoros,COM,,,,,15,,,,,,,,,,19.1,,,,,19.1
"Congo, Dem. Rep.",COD,,,,,94.3,,,,,,,,77.2,,,,,,,77.2
"Congo, Rep.",COG,,,,,,55.1,,,,,,38.2,,,,,,,,38.2
Costa Rica,CRI,6.7,4.9,4.6,4.5,4.4,3.2,3.2,1.8,2.3,2.4,1.6,1.7,1.7,1.6,1.5,1.5,1.3,1.1,1.5,1.6
Cote d'Ivoire,CIV,,,24.4,,,,,,30.4,,,,,,,29.8,,,,29.8
Croatia,HRV,,,,,,,,,,0.9,1.2,0.7,0.8,0.7,1,0.6,0.6,0.5,,0.76
Cyprus,CYP,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,,0.04
Czech Republic,CZE,,,0,,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,,0
Denmark,DNK,0,,,0.3,0.3,0.3,0.1,0,0.1,0.5,0.1,0,0,0.3,0.2,0.2,0.3,0.1,,0.14
Djibouti,DJI,,,20.2,,,,,,,,,,18.2,22.3,,,,17,,20.25
Dominican Republic,DOM,5.5,3.9,5.6,6.7,8.5,5.7,4.4,4.4,3.7,3.2,2.5,2.9,2.6,2.2,2.1,1.8,1.6,0.7,0.4,2.32
Ecuador,ECU,28.4,,,14.5,15.1,11.9,8.1,8.5,7.5,7.2,5.6,4.7,4.5,3.2,2.6,3.5,3.6,3.2,3.3,3.7
"Egypt, Arab Rep.",EGY,,,,,5.2,,,,4.7,,2.2,,1.5,,,1.6,,3.8,,1.55
El Salvador,SLV,12.4,13.6,14.1,15,11,10.6,7.1,4.7,7,6.8,5.7,4.7,4.2,3.4,3.1,2,2.3,1.9,1.5,3.48
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,
Estonia,EST,,,,2.3,1,0.8,0.7,0.4,0.4,0.6,0.7,1,0.7,0.8,0.7,0.6,0.5,0.3,,0.76
Eswatini,SWZ,48.9,,,,,,,,,43,,,,,,,29.2,,,
Ethiopia,ETH,,,,,39.2,,,,,,35.2,,,,,32.6,,,,32.6
Fiji,FJI,,,2.3,,,,,,1.6,,,,,0.5,,,,,,0.5
Finland,FIN,0,,,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,,0.08
France,FRA,0,,,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,,0.06
Gabon,GAB,,,,,,8,,,,,,,,,,,,3.4,,
"Gambia, The",GMB,,,,46.1,,,,,,,25.4,,,,,10.3,,,,10.3
Georgia,GEO,19.2,19,10.3,10.4,9.9,10.7,10.3,11.6,10.2,10.1,12,11.1,8.5,6.4,4.9,3.7,3.8,5,4.5,6.92
Germany,DEU,0,0,0,0,0,0,0,0,0.2,0,0,0,,0,,0,0,,,0
Ghana,GHA,,,,,,24.1,,,,,,,11.6,,,,13,,,11.6
Greece,GRC,0.5,,,0.5,0.7,0.3,0.6,0.5,0.3,0.6,1,1.2,1.5,1,1.5,1.4,1.1,0.9,,1.32
Guatemala,GTM,9.3,,,,,,11.2,,,,,,,,8.8,,,,,8.8
Guinea,GIN,,,63,,,,,60.3,,,,,36.1,,,,,,,36.1
Guinea-Bissau,GNB,,,56.6,,,,,,,,68.4,,,,,,,,,
Guyana,GUY,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,,,,,,,,,,,,,24.5,,,,,,,24.5
Honduras,HND,,22,23.9,28.5,27.7,27.1,23,17.6,16.9,14.2,15.6,17.4,20.1,17.7,16.4,16.6,18.4,17.6,16.9,17.64
